lemma	grouping	nodes	nodes1	nodes2	cluster_freq_dist	cluster_freq_dist1	cluster_freq_dist2	cluster_prob_dist	cluster_prob_dist1	cluster_prob_dist2	change_binary	change_binary_gain	change_binary_loss	change_graded	k1	n1	k2	n2	EARLIER	LATER	COMPARE
canal	1_2	40	20	20	[13, 10, 10, 2, 1, 1, 1, 1, 1]	[0, 10, 10, 0, 0, 0, 0, 0, 0]	[13, 0, 0, 2, 1, 1, 1, 1, 1]	[0.325, 0.25, 0.25, 0.05, 0.025, 0.025, 0.025, 0.025, 0.025]	[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.65, 0.0, 0.0, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05]	1	1	1	1.0	1	3	1	3	2.330578512396694	2.3728070175438596	1.6134615384615385
capital	1_2	40	20	20	[23, 11, 1, 1, 1, 1, 1, 1]	[10, 8, 1, 1, 0, 0, 0, 0]	[13, 3, 0, 0, 1, 1, 1, 1]	[0.575, 0.275, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025]	[0.5, 0.4, 0.05, 0.05, 0.0, 0.0, 0.0, 0.0]	[0.65, 0.15, 0.0, 0.0, 0.05, 0.05, 0.05, 0.05]	0	0	0	0.4467720893405755	1	3	1	3	2.1015625	2.2708333333333335	2.157088122605364
cobrar	1_2	40	20	20	[26, 8, 5]	[12, 3, 4]	[14, 5, 1]	[0.667, 0.205, 0.128]	[0.632, 0.158, 0.211]	[0.7, 0.25, 0.05]	1	0	1	0.21725900945227616	1	3	1	3	2.360215053763441	2.731958762886598	2.4696969696969697
colaborar	1_2	40	20	20	[30, 10]	[10, 10]	[20, 0]	[0.75, 0.25]	[0.5, 0.5]	[1.0, 0.0]	1	0	1	0.5579230452841438	1	3	1	3	2.67	3.6121495327102804	2.5995475113122173
cólera	1_2	40	20	20	[25, 15]	[20, 0]	[5, 15]	[0.625, 0.375]	[1.0, 0.0]	[0.25, 0.75]	1	1	0	0.740806952380577	1	3	1	3	3.7916666666666665	2.881188118811881	1.625
compasión	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.8425925925925926	3.6814159292035398	3.739130434782609
contingente	1_2	40	20	20	[29, 6, 2, 2, 1]	[15, 1, 2, 2, 0]	[14, 5, 0, 0, 1]	[0.725, 0.15, 0.05, 0.05, 0.025]	[0.75, 0.05, 0.1, 0.1, 0.0]	[0.7, 0.25, 0.0, 0.0, 0.05]	1	1	0	0.422041006726376	1	3	1	3	2.547169811320755	2.853211009174312	2.3449781659388647
copiar	1_2	40	20	20	[20, 18, 2]	[5, 13, 2]	[15, 5, 0]	[0.5, 0.45, 0.05]	[0.25, 0.65, 0.1]	[0.75, 0.25, 0.0]	0	0	0	0.45910631380778055	1	3	1	3	2.8461538461538463	2.962962962962963	2.4482142857142857
corona	1_2	40	20	20	[18, 8, 5, 5, 3, 1]	[8, 7, 4, 0, 1, 0]	[10, 1, 1, 5, 2, 1]	[0.45, 0.2, 0.125, 0.125, 0.075, 0.025]	[0.4, 0.35, 0.2, 0.0, 0.05, 0.0]	[0.5, 0.05, 0.05, 0.25, 0.1, 0.05]	1	1	1	0.5349669943257002	1	3	1	3	2.6708333333333334	2.1652173913043478	2.1469465648854964
corredor	1_2	40	20	20	[18, 13, 2, 2, 2, 1, 1]	[16, 0, 1, 1, 0, 1, 0]	[2, 13, 1, 1, 2, 0, 1]	[0.462, 0.333, 0.051, 0.051, 0.051, 0.026, 0.026]	[0.842, 0.0, 0.053, 0.053, 0.0, 0.053, 0.0]	[0.1, 0.65, 0.05, 0.05, 0.1, 0.0, 0.05]	1	1	0	0.8169819168337171	1	3	1	3	2.915929203539823	2.327433628318584	2.0430711610486894
corriente	1_2	40	20	20	[10, 6, 5, 4, 4, 3, 2, 2, 1, 1, 1, 1]	[2, 0, 3, 4, 3, 3, 2, 1, 1, 1, 0, 0]	[8, 6, 2, 0, 1, 0, 0, 1, 0, 0, 1, 1]	[0.25, 0.15, 0.125, 0.1, 0.1, 0.075, 0.05, 0.05, 0.025, 0.025, 0.025, 0.025]	[0.1, 0.0, 0.15, 0.2, 0.15, 0.15, 0.1, 0.05, 0.05, 0.05, 0.0, 0.0]	[0.4, 0.3, 0.1, 0.0, 0.05, 0.0, 0.0, 0.05, 0.0, 0.0, 0.05, 0.05]	1	1	1	0.7530081935313934	1	3	1	3	1.8855932203389831	2.26890756302521	1.7618110236220472
creciente	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.5096153846153846	3.595959595959596	3.5309278350515463
declinar	1_2	40	20	20	[25, 6, 4, 3, 2]	[7, 4, 4, 3, 2]	[18, 2, 0, 0, 0]	[0.625, 0.15, 0.1, 0.075, 0.05]	[0.35, 0.2, 0.2, 0.15, 0.1]	[0.9, 0.1, 0.0, 0.0, 0.0]	1	0	1	0.5723625322221441	1	3	1	3	2.5072463768115942	3.4583333333333335	2.2181818181818183
demá	1_2	40	20	20	[36, 2, 1, 1]	[19, 0, 1, 0]	[17, 2, 0, 1]	[0.9, 0.05, 0.025, 0.025]	[0.95, 0.0, 0.05, 0.0]	[0.85, 0.1, 0.0, 0.05]	0	0	0	0.3193818641047364	1	3	1	3	3.4464285714285716	2.8973214285714284	3.1359832635983262
descendiente	1_2	40	20	20	[38, 1, 1]	[20, 0, 0]	[18, 1, 1]	[0.95, 0.025, 0.025]	[1.0, 0.0, 0.0]	[0.9, 0.05, 0.05]	0	0	0	0.22781387210026416	1	3	1	3	3.6818181818181817	3.1652542372881354	3.3550420168067228
despacho	1_2	40	20	20	[33, 4, 2, 1]	[17, 2, 0, 1]	[16, 2, 2, 0]	[0.825, 0.1, 0.05, 0.025]	[0.85, 0.1, 0.0, 0.05]	[0.8, 0.1, 0.1, 0.0]	0	0	0	0.2748573431085119	1	3	1	3	3.1495726495726495	2.823529411764706	3.0535714285714284
diligencia	1_2	40	20	20	[17, 15, 4, 2, 1, 1]	[7, 9, 0, 2, 1, 1]	[10, 6, 4, 0, 0, 0]	[0.425, 0.375, 0.1, 0.05, 0.025, 0.025]	[0.35, 0.45, 0.0, 0.1, 0.05, 0.05]	[0.5, 0.3, 0.2, 0.0, 0.0, 0.0]	1	1	0	0.46956464371801493	1	3	1	3	2.509259259259259	2.7100840336134455	2.2586206896551726
disco	1_2	40	20	20	[15, 9, 6, 3, 3, 2, 2]	[0, 8, 6, 3, 0, 1, 2]	[15, 1, 0, 0, 3, 1, 0]	[0.375, 0.225, 0.15, 0.075, 0.075, 0.05, 0.05]	[0.0, 0.4, 0.3, 0.15, 0.0, 0.05, 0.1]	[0.75, 0.05, 0.0, 0.0, 0.15, 0.05, 0.0]	1	1	1	0.9147496240368069	1	3	1	3	2.43801652892562	2.857142857142857	2.108108108108108
distribuir	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.2551020408163267	3.395	3.2447368421052634
educado	1_2	40	20	20	[39, 1]	[19, 1]	[20, 0]	[0.975, 0.025]	[0.95, 0.05]	[1.0, 0.0]	0	0	0	0.15956958650912217	1	3	1	3	3.4345238095238093	3.409090909090909	3.3923076923076922
elocuente	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.457547169811321	3.6818181818181817	3.394230769230769
empresa	1_2	40	20	20	[23, 17]	[3, 17]	[20, 0]	[0.575, 0.425]	[0.15, 0.85]	[1.0, 0.0]	1	0	1	0.8238859813499594	1	3	1	3	3.0208333333333335	3.890625	2.4456521739130435
encargado	1_2	40	20	20	[38, 2]	[18, 2]	[20, 0]	[0.95, 0.05]	[0.9, 0.1]	[1.0, 0.0]	0	0	0	0.22781387210026416	1	3	1	3	3.473684210526316	3.547872340425532	3.3225
enterar	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.6323529411764706	3.7954545454545454	3.6588541666666665
escritor	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.6323529411764706	3.70873786407767	3.623913043478261
especulación	1_2	40	20	20	[29, 7, 3, 1]	[14, 4, 2, 0]	[15, 3, 1, 1]	[0.725, 0.175, 0.075, 0.025]	[0.7, 0.2, 0.1, 0.0]	[0.75, 0.15, 0.05, 0.05]	0	0	0	0.18529668978636776	1	3	1	3	2.7241379310344827	2.9835164835164836	2.640625
fallar	1_2	40	20	20	[30, 9, 1]	[14, 5, 1]	[16, 4, 0]	[0.75, 0.225, 0.025]	[0.7, 0.25, 0.05]	[0.8, 0.2, 0.0]	0	0	0	0.17150557585738288	1	3	1	3	2.494186046511628	2.6862745098039214	2.6096491228070176
fallecimiento	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.8106796116504853	3.803370786516854	3.851010101010101
gracioso	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.4593023255813953	3.5824175824175826	3.419047619047619
historia	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.367021276595745	3.404040404040404	3.195852534562212
historiador	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.990566037735849	4.0	3.995169082125604
impulso	1_2	40	20	20	[39, 1]	[20, 0]	[19, 1]	[0.975, 0.025]	[1.0, 0.0]	[0.95, 0.05]	0	0	0	0.15956958650912217	1	3	1	3	3.2055555555555557	3.2777777777777777	2.955223880597015
indicativo	1_2	40	20	20	[20, 20]	[20, 0]	[0, 20]	[0.5, 0.5]	[1.0, 0.0]	[0.0, 1.0]	1	1	1	1.0	1	3	1	3	3.823529411764706	3.345360824742268	1.3774038461538463
instalación	1_2	40	20	20	[19, 8, 5, 4, 2, 1, 1]	[3, 7, 5, 3, 1, 1, 0]	[16, 1, 0, 1, 1, 0, 1]	[0.475, 0.2, 0.125, 0.1, 0.05, 0.025, 0.025]	[0.15, 0.35, 0.25, 0.15, 0.05, 0.05, 0.0]	[0.8, 0.05, 0.0, 0.05, 0.05, 0.0, 0.05]	1	0	1	0.6791656039454228	1	3	1	3	2.3173076923076925	2.9414414414414414	1.8508771929824561
interrogatorio	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.303030303030303	3.5904255319148937	3.3821989528795813
intolerable	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.6009174311926606	3.696261682242991	3.7181069958847734
juguete	1_2	40	20	20	[34, 6]	[15, 5]	[19, 1]	[0.85, 0.15]	[0.75, 0.25]	[0.95, 0.05]	1	0	1	0.24698737605160295	1	3	1	3	2.814814814814815	3.2394957983193278	2.9893617021276597
maduro	1_2	40	20	20	[35, 5]	[16, 4]	[19, 1]	[0.875, 0.125]	[0.8, 0.2]	[0.95, 0.05]	1	0	1	0.1984991617058802	1	3	1	3	3.094736842105263	2.973684210526316	2.882978723404255
maravilloso	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.3440860215053765	3.5	3.446759259259259
marco	1_2	40	20	20	[20, 14, 3, 2, 1]	[0, 14, 3, 2, 1]	[20, 0, 0, 0, 0]	[0.5, 0.35, 0.075, 0.05, 0.025]	[0.0, 0.7, 0.15, 0.1, 0.05]	[1.0, 0.0, 0.0, 0.0, 0.0]	1	1	1	1.0	1	3	1	3	2.776	3.8031496062992125	1.1923076923076923
matiz	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.3	3.4489795918367347	3.0943877551020407
médula	1_2	40	20	20	[33, 3, 2, 1]	[15, 2, 2, 0]	[18, 1, 0, 1]	[0.846, 0.077, 0.051, 0.026]	[0.789, 0.105, 0.105, 0.0]	[0.9, 0.05, 0.0, 0.05]	0	0	0	0.2957934092932284	1	3	1	3	2.752032520325203	3.3903508771929824	2.8214285714285716
metal	1_2	40	20	20	[30, 7, 2, 1]	[10, 7, 2, 1]	[20, 0, 0, 0]	[0.75, 0.175, 0.05, 0.025]	[0.5, 0.35, 0.1, 0.05]	[1.0, 0.0, 0.0, 0.0]	1	0	1	0.5579230452841438	1	3	1	3	2.1929133858267718	3.547008547008547	2.4529147982062782
metro	1_2	40	20	20	[32, 4, 2, 1, 1]	[13, 4, 2, 1, 0]	[19, 0, 0, 0, 1]	[0.8, 0.1, 0.05, 0.025, 0.025]	[0.65, 0.2, 0.1, 0.05, 0.0]	[0.95, 0.0, 0.0, 0.0, 0.05]	1	0	1	0.46947681229381066	1	3	1	3	2.611842105263158	3.3333333333333335	2.853968253968254
modificado	1_2	40	20	20	[33, 7]	[13, 7]	[20, 0]	[0.825, 0.175]	[0.65, 0.35]	[1.0, 0.0]	1	0	1	0.44942386159260844	1	3	1	3	2.7530487804878048	3.2465753424657535	2.56269592476489
modo	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.4893617021276597	3.431578947368421	3.5100502512562812
mortal	1_2	40	20	20	[23, 8, 5, 4]	[8, 6, 3, 3]	[15, 2, 2, 1]	[0.575, 0.2, 0.125, 0.1]	[0.4, 0.3, 0.15, 0.15]	[0.75, 0.1, 0.1, 0.05]	1	0	1	0.3150929814766406	1	3	1	3	2.8058823529411763	2.532110091743119	2.454081632653061
móvil	1_2	40	20	20	[20, 13, 5, 2]	[20, 0, 0, 0]	[0, 13, 5, 2]	[0.5, 0.325, 0.125, 0.05]	[1.0, 0.0, 0.0, 0.0]	[0.0, 0.65, 0.25, 0.1]	1	1	1	1.0	1	3	1	3	3.4722222222222223	2.575268817204301	1.4053254437869822
mujer	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.5989583333333335	3.683673469387755	3.5326633165829144
músculo	1_2	40	20	20	[38, 1, 1]	[20, 0, 0]	[18, 1, 1]	[0.95, 0.025, 0.025]	[1.0, 0.0, 0.0]	[0.9, 0.05, 0.05]	0	0	0	0.22781387210026416	1	3	1	3	3.683333333333333	3.1666666666666665	3.397590361445783
no	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.6875	3.57	3.5990338164251208
nombramiento	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.391891891891892	3.746913580246914	3.477401129943503
nombrar	1_2	40	20	20	[26, 12, 2]	[11, 9, 0]	[15, 3, 2]	[0.65, 0.3, 0.05]	[0.55, 0.45, 0.0]	[0.75, 0.15, 0.1]	0	0	0	0.3431594590696887	1	3	1	3	2.4210526315789473	2.8012048192771086	2.5402843601895735
obtener	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.5412371134020617	3.6372549019607843	3.495049504950495
pelear	1_2	40	20	20	[38, 1, 1]	[18, 1, 1]	[20, 0, 0]	[0.95, 0.025, 0.025]	[0.9, 0.05, 0.05]	[1.0, 0.0, 0.0]	0	0	0	0.22781387210026416	1	3	1	3	2.8363636363636364	2.995967741935484	2.8580246913580245
pendiente	1_2	40	20	20	[24, 7, 4, 2, 1, 1, 1]	[4, 7, 4, 2, 1, 1, 1]	[20, 0, 0, 0, 0, 0, 0]	[0.6, 0.175, 0.1, 0.05, 0.025, 0.025, 0.025]	[0.2, 0.35, 0.2, 0.1, 0.05, 0.05, 0.05]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1	0	1	0.7810163551494856	1	3	1	3	1.919811320754717	3.6029411764705883	1.7415254237288136
periodista	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.830188679245283	3.8194444444444446	3.810416666666667
pila	1_2	40	20	20	[17, 6, 5, 4, 1, 1, 1, 1, 1, 1, 1]	[9, 1, 3, 4, 1, 1, 1, 0, 0, 0, 0]	[8, 5, 2, 0, 0, 0, 0, 1, 1, 1, 1]	[0.436, 0.154, 0.128, 0.103, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026, 0.026]	[0.45, 0.05, 0.15, 0.2, 0.05, 0.05, 0.05, 0.0, 0.0, 0.0, 0.0]	[0.421, 0.263, 0.105, 0.0, 0.0, 0.0, 0.0, 0.053, 0.053, 0.053, 0.053]	1	1	1	0.5838134394518173	1	3	1	3	1.7857142857142858	1.936936936936937	1.6645833333333333
planta	1_2	40	20	20	[21, 9, 6, 2, 1, 1]	[7, 9, 0, 2, 1, 1]	[14, 0, 6, 0, 0, 0]	[0.525, 0.225, 0.15, 0.05, 0.025, 0.025]	[0.35, 0.45, 0.0, 0.1, 0.05, 0.05]	[0.7, 0.0, 0.3, 0.0, 0.0, 0.0]	1	1	1	0.719649002723823	1	3	1	3	1.8954545454545455	2.5478260869565217	1.792
precursor	1_2	40	20	20	[22, 16, 2]	[18, 0, 2]	[4, 16, 0]	[0.55, 0.4, 0.05]	[0.9, 0.0, 0.1]	[0.2, 0.8, 0.0]	1	1	0	0.7897967209342711	1	3	1	3	2.881188118811881	2.9405940594059405	2.04040404040404
pretender	1_2	40	20	20	[38, 2]	[19, 1]	[19, 1]	[0.95, 0.05]	[0.95, 0.05]	[0.95, 0.05]	0	0	0	0.0	1	3	1	3	3.1714285714285713	3.742857142857143	3.25
prima	1_2	40	20	20	[20, 18, 2]	[0, 18, 2]	[20, 0, 0]	[0.5, 0.45, 0.05]	[0.0, 0.9, 0.1]	[1.0, 0.0, 0.0]	1	1	1	1.0	1	3	1	3	3.4873949579831933	3.4	1.0180722891566265
propiamente	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.586734693877551	3.7903225806451615	3.456730769230769
propuesta	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.417525773195876	3.883495145631068	3.244949494949495
próximo	1_2	40	20	20	[23, 16, 1]	[6, 14, 0]	[17, 2, 1]	[0.575, 0.4, 0.025]	[0.3, 0.7, 0.0]	[0.85, 0.1, 0.05]	0	0	0	0.5535722000127415	1	3	1	3	2.734126984126984	3.230496453900709	2.6363636363636362
quemar	1_2	40	20	20	[32, 5, 2, 1]	[14, 4, 2, 0]	[18, 1, 0, 1]	[0.8, 0.125, 0.05, 0.025]	[0.7, 0.2, 0.1, 0.0]	[0.9, 0.05, 0.0, 0.05]	1	0	1	0.3446729776299292	1	3	1	3	2.7672413793103448	3.2213740458015265	2.9269230769230767
recomendar	1_2	40	20	20	[33, 6, 1]	[14, 6, 0]	[19, 0, 1]	[0.825, 0.15, 0.025]	[0.7, 0.3, 0.0]	[0.95, 0.0, 0.05]	1	0	1	0.434412986839874	1	3	1	3	3.0737704918032787	3.7625	3.0665236051502145
recordar	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.723463687150838	3.4857142857142858	3.415775401069519
reforma	1_2	40	20	20	[39, 1]	[19, 1]	[20, 0]	[0.975, 0.025]	[0.95, 0.05]	[1.0, 0.0]	0	0	0	0.15956958650912217	1	3	1	3	3.038095238095238	3.711340206185567	3.31025641025641
retroceder	1_2	40	20	20	[26, 14]	[19, 1]	[7, 13]	[0.65, 0.35]	[0.95, 0.05]	[0.35, 0.65]	1	1	0	0.5690655051307957	1	3	1	3	3.426605504587156	2.861344537815126	2.4519650655021836
saludar	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.611764705882353	3.5933333333333333	3.3491124260355027
satélite	1_2	40	20	20	[21, 11, 8]	[1, 11, 8]	[20, 0, 0]	[0.525, 0.275, 0.2]	[0.05, 0.55, 0.4]	[1.0, 0.0, 0.0]	1	1	1	0.924660694787462	1	3	1	3	2.7	3.232673267326733	1.1838235294117647
servidor	1_2	40	20	20	[23, 17]	[20, 0]	[3, 17]	[0.575, 0.425]	[1.0, 0.0]	[0.15, 0.85]	1	1	0	0.8238859813499594	1	3	1	3	3.484042553191489	3.0202020202020203	1.9732620320855614
sexo	1_2	40	20	20	[29, 10, 1]	[18, 1, 1]	[11, 9, 0]	[0.725, 0.25, 0.025]	[0.9, 0.05, 0.05]	[0.55, 0.45, 0.0]	1	1	0	0.434194456332053	1	3	1	3	3.1650943396226414	2.5454545454545454	2.517094017094017
socialista	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.337719298245614	3.5912698412698414	3.318702290076336
solicitud	1_2	40	20	20	[25, 15]	[5, 15]	[20, 0]	[0.625, 0.375]	[0.25, 0.75]	[1.0, 0.0]	1	0	1	0.740806952380577	1	3	1	3	2.834507042253521	3.806122448979592	1.7301324503311257
suposición	1_2	40	20	20	[37, 2]	[17, 2]	[20, 0]	[0.949, 0.051]	[0.895, 0.105]	[1.0, 0.0]	0	0	0	0.23396980263771833	1	3	1	3	3.484848484848485	3.709090909090909	3.4681818181818183
susceptible	1_2	40	20	20	[31, 6, 2]	[12, 6, 2]	[19, 0, 0]	[0.795, 0.154, 0.051]	[0.6, 0.3, 0.1]	[1.0, 0.0, 0.0]	1	0	1	0.4862641233527598	1	3	1	3	2.8047619047619046	3.4166666666666665	2.687830687830688
tablero	1_2	40	20	20	[9, 8, 7, 5, 4, 3, 3, 1]	[6, 0, 6, 1, 1, 3, 3, 0]	[3, 8, 1, 4, 3, 0, 0, 1]	[0.225, 0.2, 0.175, 0.125, 0.1, 0.075, 0.075, 0.025]	[0.3, 0.0, 0.3, 0.05, 0.05, 0.15, 0.15, 0.0]	[0.15, 0.4, 0.05, 0.2, 0.15, 0.0, 0.0, 0.05]	1	1	1	0.7200499126998066	1	3	1	3	2.2122641509433962	2.0530973451327434	1.6293103448275863
tarea	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.308988764044944	3.625	3.1481481481481484
trato	1_2	40	20	20	[31, 9]	[15, 5]	[16, 4]	[0.775, 0.225]	[0.75, 0.25]	[0.8, 0.2]	0	0	0	0.05088928511745992	1	3	1	3	2.674107142857143	2.903361344537815	2.4934210526315788
tropical	1_2	40	20	20	[35, 3, 2]	[15, 3, 2]	[20, 0, 0]	[0.875, 0.075, 0.05]	[0.75, 0.15, 0.1]	[1.0, 0.0, 0.0]	1	0	1	0.3713830650016636	1	3	1	3	2.7992125984251968	3.6052631578947367	2.924812030075188
variedad	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.5051546391752577	3.6666666666666665	3.518134715025907
verdaderamente	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.8425925925925926	3.89247311827957	3.8088235294117645
viernes	1_2	40	20	20	[40]	[20]	[20]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.5806451612903225	3.985148514851485	3.794930875576037
visita	1_2	40	20	20	[39, 1]	[20, 0]	[19, 1]	[0.975, 0.025]	[1.0, 0.0]	[0.95, 0.05]	0	0	0	0.15956958650912217	1	3	1	3	3.383177570093458	3.559090909090909	3.04375
